time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,relative_humidity_2m_max,relative_humidity_2m_min,location,date
2020-01-01,16.3,3.2,0.0,0.0,0.0,6.9,99,53,Jammu,2020-01-01
2020-01-02,15.4,5.0,0.5,0.5,0.0,6.8,82,56,Jammu,2020-01-02
2020-01-03,17.3,4.2,0.4,0.4,0.0,10.5,86,42,Jammu,2020-01-03
2020-01-04,16.2,7.3,1.8,1.8,0.0,14.5,88,53,Jammu,2020-01-04
2020-01-05,15.6,3.7,0.0,0.0,0.0,8.9,94,48,Jammu,2020-01-05
2020-01-06,10.5,8.7,10.1,10.1,0.0,10.7,95,62,Jammu,2020-01-06
2020-01-07,11.7,9.2,15.3,15.3,0.0,7.1,96,82,Jammu,2020-01-07
2020-01-08,12.4,5.9,5.4,5.4,0.0,6.9,99,72,Jammu,2020-01-08
2020-01-09,14.5,5.4,0.0,0.0,0.0,7.1,89,57,Jammu,2020-01-09
2020-01-10,14.4,2.1,0.0,0.0,0.0,7.6,88,54,Jammu,2020-01-10
2020-01-11,14.7,3.7,0.0,0.0,0.0,7.4,85,53,Jammu,2020-01-11
2020-01-12,19.7,9.2,0.6,0.6,0.0,16.5,92,49,Jammu,2020-01-12
2020-01-13,14.4,9.0,38.9,38.9,0.0,26.4,97,77,Jammu,2020-01-13
2020-01-14,15.6,6.3,0.0,0.0,0.0,6.7,95,61,Jammu,2020-01-14
2020-01-15,16.5,5.5,0.3,0.3,0.0,7.4,95,64,Jammu,2020-01-15
2020-01-16,17.0,6.5,0.0,0.0,0.0,10.5,88,57,Jammu,2020-01-16
2020-01-17,16.8,6.6,0.2,0.2,0.0,10.0,92,65,Jammu,2020-01-17
2020-01-18,15.7,6.0,5.2,5.2,0.0,8.4,97,60,Jammu,2020-01-18
2020-01-19,16.5,4.3,0.0,0.0,0.0,9.4,93,62,Jammu,2020-01-19
2020-01-20,16.5,6.9,0.0,0.0,0.0,6.8,84,58,Jammu,2020-01-20
2020-01-21,15.2,7.3,2.4,2.4,0.0,11.3,93,53,Jammu,2020-01-21
2020-01-22,17.7,4.1,0.0,0.0,0.0,10.4,94,45,Jammu,2020-01-22
2020-01-23,16.8,6.3,0.0,0.0,0.0,8.6,85,54,Jammu,2020-01-23
2020-01-24,16.2,3.3,0.0,0.0,0.0,6.5,85,50,Jammu,2020-01-24
2020-01-25,15.6,6.3,0.1,0.1,0.0,8.4,88,53,Jammu,2020-01-25
2020-01-26,17.9,7.1,0.0,0.0,0.0,9.4,85,52,Jammu,2020-01-26
2020-01-27,18.4,6.5,1.3,1.3,0.0,10.0,90,52,Jammu,2020-01-27
2020-01-28,12.5,10.5,22.4,22.4,0.0,15.9,96,83,Jammu,2020-01-28
2020-01-29,15.0,7.6,13.8,13.8,0.0,19.1,94,68,Jammu,2020-01-29
2020-01-30,16.0,7.1,0.0,0.0,0.0,8.6,89,59,Jammu,2020-01-30
2020-01-31,15.7,4.5,1.1,1.1,0.0,10.7,92,64,Jammu,2020-01-31
2020-02-01,16.1,5.6,0.4,0.4,0.0,10.6,93,60,Jammu,2020-02-01
2020-02-02,16.4,4.4,0.0,0.0,0.0,7.0,92,59,Jammu,2020-02-02
2020-02-03,17.0,5.1,0.0,0.0,0.0,6.6,90,54,Jammu,2020-02-03
2020-02-04,15.4,5.9,0.8,0.8,0.0,7.6,93,63,Jammu,2020-02-04
2020-02-05,16.9,6.2,0.0,0.0,0.0,10.0,90,53,Jammu,2020-02-05
2020-02-06,16.2,5.9,0.0,0.0,0.0,14.2,87,54,Jammu,2020-02-06
2020-02-07,17.4,6.0,0.0,0.0,0.0,11.5,87,54,Jammu,2020-02-07
2020-02-08,17.7,5.3,0.0,0.0,0.0,9.2,89,61,Jammu,2020-02-08
2020-02-09,18.7,4.7,0.0,0.0,0.0,6.2,85,50,Jammu,2020-02-09
2020-02-10,19.2,6.2,0.0,0.0,0.0,9.7,85,48,Jammu,2020-02-10
2020-02-11,18.5,8.0,0.1,0.1,0.0,9.0,85,56,Jammu,2020-02-11
2020-02-12,20.2,9.5,0.0,0.0,0.0,10.1,86,56,Jammu,2020-02-12
2020-02-13,23.9,12.6,0.4,0.4,0.0,14.4,84,52,Jammu,2020-02-13
2020-02-14,22.1,11.9,0.0,0.0,0.0,9.5,85,51,Jammu,2020-02-14
2020-02-15,22.1,8.6,0.0,0.0,0.0,9.0,88,35,Jammu,2020-02-15
2020-02-16,22.8,9.1,0.0,0.0,0.0,8.6,79,45,Jammu,2020-02-16
2020-02-17,22.0,8.3,0.0,0.0,0.0,9.8,85,47,Jammu,2020-02-17
2020-02-18,21.8,8.2,0.0,0.0,0.0,7.0,81,50,Jammu,2020-02-18
2020-02-19,23.1,10.9,0.2,0.2,0.0,18.8,78,36,Jammu,2020-02-19
2020-02-20,20.2,13.0,3.8,3.8,0.0,24.6,89,46,Jammu,2020-02-20
2020-02-21,20.7,11.4,0.3,0.3,0.0,19.1,86,50,Jammu,2020-02-21
2020-02-22,21.4,10.1,0.0,0.0,0.0,7.9,88,56,Jammu,2020-02-22
2020-02-23,22.7,9.2,0.0,0.0,0.0,8.1,87,53,Jammu,2020-02-23
2020-02-24,23.0,10.4,0.0,0.0,0.0,9.4,84,44,Jammu,2020-02-24
