Date,District,Disease,Cases
2020-01,Mumbai,Dengue,9
2020-01,Mumbai,Malaria,28
2020-01,Mumbai,Cholera,27
2020-01,Mumbai,Typhoid,22
2020-01,Mumbai,Tuberculosis,7
2020-01,Mumbai,Hepatitis A,16
2020-01,Delhi,Dengue,15
2020-01,Delhi,Malaria,4
2020-01,Delhi,Cholera,19
2020-01,Delhi,Typhoid,9
2020-01,Delhi,Tuberculosis,24
2020-01,Delhi,Hepatitis A,10
2020-01,Bengaluru,Dengue,10
2020-01,Bengaluru,Malaria,18
2020-01,Bengaluru,Cholera,32
2020-01,Bengaluru,Typhoid,22
2020-01,Bengaluru,Tuberculosis,1
2020-01,Bengaluru,Hepatitis A,8
2020-01,Hyderabad,Dengue,12
2020-01,Hyderabad,Malaria,8
2020-01,Hyderabad,Cholera,29
2020-01,Hyderabad,Typhoid,16
2020-01,Hyderabad,Tuberculosis,38
2020-01,Hyderabad,Hepatitis A,8
2020-01,Ahmedabad,Dengue,13
2020-01,Ahmedabad,Malaria,27
2020-01,Ahmedabad,Cholera,26
2020-01,Ahmedabad,Typhoid,32
2020-01,Ahmedabad,Tuberculosis,23
2020-01,Ahmedabad,Hepatitis A,22
2020-01,Chennai,Dengue,26
2020-01,Chennai,Malaria,25
2020-01,Chennai,Cholera,28
2020-01,Chennai,Typhoid,12
2020-01,Chennai,Tuberculosis,23
2020-01,Chennai,Hepatitis A,14
2020-01,Kolkata,Dengue,22
2020-01,Kolkata,Malaria,18
2020-01,Kolkata,Cholera,29
2020-01,Kolkata,Typhoid,15
2020-01,Kolkata,Tuberculosis,25
2020-01,Kolkata,Hepatitis A,34
2020-01,Pune,Dengue,5
2020-01,Pune,Malaria,23
2020-01,Pune,Cholera,25
2020-01,Pune,Typhoid,7
2020-01,Pune,Tuberculosis,17
2020-01,Pune,Hepatitis A,3
2020-01,Jaipur,Dengue,22
2020-01,Jaipur,Malaria,12
2020-01,Jaipur,Cholera,10
2020-01,Jaipur,Typhoid,9
2020-01,Jaipur,Tuberculosis,7
2020-01,Jaipur,Hepatitis A,7
2020-01,Lucknow,Dengue,11
2020-01,Lucknow,Malaria,34
2020-01,Lucknow,Cholera,24
2020-01,Lucknow,Typhoid,5
2020-01,Lucknow,Tuberculosis,25
2020-01,Lucknow,Hepatitis A,17
2020-02,Mumbai,Dengue,11
2020-02,Mumbai,Malaria,15
2020-02,Mumbai,Cholera,23
2020-02,Mumbai,Typhoid,20
2020-02,Mumbai,Tuberculosis,6
2020-02,Mumbai,Hepatitis A,13
2020-02,Delhi,Dengue,16
2020-02,Delhi,Malaria,6
2020-02,Delhi,Cholera,7
2020-02,Delhi,Typhoid,14
2020-02,Delhi,Tuberculosis,21
2020-02,Delhi,Hepatitis A,23
2020-02,Bengaluru,Dengue,18
2020-02,Bengaluru,Malaria,7
2020-02,Bengaluru,Cholera,11
2020-02,Bengaluru,Typhoid,18
2020-02,Bengaluru,Tuberculosis,14
2020-02,Bengaluru,Hepatitis A,21
2020-02,Hyderabad,Dengue,15
2020-02,Hyderabad,Malaria,35
2020-02,Hyderabad,Cholera,11
2020-02,Hyderabad,Typhoid,29
2020-02,Hyderabad,Tuberculosis,24
2020-02,Hyderabad,Hepatitis A,16
2020-02,Ahmedabad,Dengue,7
2020-02,Ahmedabad,Malaria,15
2020-02,Ahmedabad,Cholera,11
2020-02,Ahmedabad,Typhoid,28
2020-02,Ahmedabad,Tuberculosis,7
2020-02,Ahmedabad,Hepatitis A,11
2020-02,Chennai,Dengue,13
2020-02,Chennai,Malaria,6
2020-02,Chennai,Cholera,23
2020-02,Chennai,Typhoid,22
2020-02,Chennai,Tuberculosis,35
2020-02,Chennai,Hepatitis A,20
2020-02,Kolkata,Dengue,9
2020-02,Kolkata,Malaria,14
2020-02,Kolkata,Cholera,13
2020-02,Kolkata,Typhoid,13
2020-02,Kolkata,Tuberculosis,9
2020-02,Kolkata,Hepatitis A,22
2020-02,Pune,Dengue,22
2020-02,Pune,Malaria,23
2020-02,Pune,Cholera,17
2020-02,Pune,Typhoid,20
2020-02,Pune,Tuberculosis,32
2020-02,Pune,Hepatitis A,5
2020-02,Jaipur,Dengue,22
2020-02,Jaipur,Malaria,13
2020-02,Jaipur,Cholera,8
2020-02,Jaipur,Typhoid,7
2020-02,Jaipur,Tuberculosis,18
2020-02,Jaipur,Hepatitis A,24
2020-02,Lucknow,Dengue,25
2020-02,Lucknow,Malaria,19
2020-02,Lucknow,Cholera,5
2020-02,Lucknow,Typhoid,12
2020-02,Lucknow,Tuberculosis,39
2020-02,Lucknow,Hepatitis A,6
2020-03,Mumbai,Dengue,23
2020-03,Mumbai,Malaria,17
2020-03,Mumbai,Cholera,28
2020-03,Mumbai,Typhoid,6
2020-03,Mumbai,Tuberculosis,3
2020-03,Mumbai,Hepatitis A,20
2020-03,Delhi,Dengue,23
2020-03,Delhi,Malaria,11
2020-03,Delhi,Cholera,12
2020-03,Delhi,Typhoid,24
2020-03,Delhi,Tuberculosis,26
2020-03,Delhi,Hepatitis A,24
2020-03,Bengaluru,Dengue,32
2020-03,Bengaluru,Malaria,17
2020-03,Bengaluru,Cholera,19
2020-03,Bengaluru,Typhoid,25
2020-03,Bengaluru,Tuberculosis,20
2020-03,Bengaluru,Hepatitis A,42
2020-03,Hyderabad,Dengue,24
2020-03,Hyderabad,Malaria,15
2020-03,Hyderabad,Cholera,19
2020-03,Hyderabad,Typhoid,16
2020-03,Hyderabad,Tuberculosis,22
2020-03,Hyderabad,Hepatitis A,9
2020-03,Ahmedabad,Dengue,22
2020-03,Ahmedabad,Malaria,22
2020-03,Ahmedabad,Cholera,19
2020-03,Ahmedabad,Typhoid,22
2020-03,Ahmedabad,Tuberculosis,29
2020-03,Ahmedabad,Hepatitis A,11
2020-03,Chennai,Dengue,9
2020-03,Chennai,Malaria,26
2020-03,Chennai,Cholera,7
2020-03,Chennai,Typhoid,35
2020-03,Chennai,Tuberculosis,5
2020-03,Chennai,Hepatitis A,20
2020-03,Kolkata,Dengue,14
2020-03,Kolkata,Malaria,9
2020-03,Kolkata,Cholera,10
2020-03,Kolkata,Typhoid,33
2020-03,Kolkata,Tuberculosis,34
2020-03,Kolkata,Hepatitis A,4
2020-03,Pune,Dengue,29
2020-03,Pune,Malaria,22
2020-03,Pune,Cholera,7
2020-03,Pune,Typhoid,7
2020-03,Pune,Tuberculosis,5
2020-03,Pune,Hepatitis A,4
2020-03,Jaipur,Dengue,28
2020-03,Jaipur,Malaria,7
2020-03,Jaipur,Cholera,21
2020-03,Jaipur,Typhoid,26
2020-03,Jaipur,Tuberculosis,11
2020-03,Jaipur,Hepatitis A,20
2020-03,Lucknow,Dengue,10
2020-03,Lucknow,Malaria,22
2020-03,Lucknow,Cholera,25
2020-03,Lucknow,Typhoid,24
2020-03,Lucknow,Tuberculosis,4
2020-03,Lucknow,Hepatitis A,8
2020-04,Mumbai,Dengue,15
2020-04,Mumbai,Malaria,34
2020-04,Mumbai,Cholera,14
2020-04,Mumbai,Typhoid,7
2020-04,Mumbai,Tuberculosis,5
2020-04,Mumbai,Hepatitis A,16
2020-04,Delhi,Dengue,19
2020-04,Delhi,Malaria,27
2020-04,Delhi,Cholera,10
2020-04,Delhi,Typhoid,9
2020-04,Delhi,Tuberculosis,32
2020-04,Delhi,Hepatitis A,26
2020-04,Bengaluru,Dengue,18
2020-04,Bengaluru,Malaria,28
2020-04,Bengaluru,Cholera,22
2020-04,Bengaluru,Typhoid,12
2020-04,Bengaluru,Tuberculosis,5
2020-04,Bengaluru,Hepatitis A,14
2020-04,Hyderabad,Dengue,5
2020-04,Hyderabad,Malaria,13
2020-04,Hyderabad,Cholera,16
2020-04,Hyderabad,Typhoid,28
2020-04,Hyderabad,Tuberculosis,5
2020-04,Hyderabad,Hepatitis A,17
2020-04,Ahmedabad,Dengue,19
2020-04,Ahmedabad,Malaria,32
2020-04,Ahmedabad,Cholera,10
2020-04,Ahmedabad,Typhoid,30
2020-04,Ahmedabad,Tuberculosis,11
2020-04,Ahmedabad,Hepatitis A,10
2020-04,Chennai,Dengue,31
2020-04,Chennai,Malaria,24
2020-04,Chennai,Cholera,18
2020-04,Chennai,Typhoid,4
2020-04,Chennai,Tuberculosis,6
2020-04,Chennai,Hepatitis A,22
2020-04,Kolkata,Dengue,29
2020-04,Kolkata,Malaria,23
2020-04,Kolkata,Cholera,7
2020-04,Kolkata,Typhoid,21
2020-04,Kolkata,Tuberculosis,21
2020-04,Kolkata,Hepatitis A,22
2020-04,Pune,Dengue,21
2020-04,Pune,Malaria,14
2020-04,Pune,Cholera,9
2020-04,Pune,Typhoid,30
2020-04,Pune,Tuberculosis,10
