time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,relative_humidity_2m_max,relative_humidity_2m_min,city
2020-06-28,38.9,29.0,0.0,0.0,0.0,20.2,81,37,Ahmedabad
2020-06-29,38.2,30.0,2.3,2.3,0.0,16.4,80,42,Ahmedabad
2020-06-30,36.7,28.6,1.5,1.5,0.0,12.8,81,48,Ahmedabad
2020-07-01,36.9,27.9,0.3,0.3,0.0,17.7,82,49,Ahmedabad
2020-07-02,38.0,27.7,0.0,0.0,0.0,18.0,84,37,Ahmedabad
2020-07-03,38.0,28.6,0.0,0.0,0.0,18.0,83,41,Ahmedabad
2020-07-04,36.2,28.2,1.0,1.0,0.0,14.4,88,50,Ahmedabad
2020-07-05,34.9,26.3,5.2,5.2,0.0,23.6,95,53,Ahmedabad
2020-07-06,29.7,25.9,14.0,14.0,0.0,21.0,97,78,Ahmedabad
2020-07-07,31.7,26.5,2.6,2.6,0.0,29.3,90,66,Ahmedabad
2020-07-08,31.2,26.5,20.0,20.0,0.0,24.1,92,72,Ahmedabad
2020-07-09,34.0,26.4,1.2,1.2,0.0,23.5,93,55,Ahmedabad
2020-07-10,33.9,26.8,2.7,2.7,0.0,22.9,88,57,Ahmedabad
2020-07-11,33.4,26.7,12.0,12.0,0.0,21.9,92,61,Ahmedabad
2020-07-12,31.7,26.2,9.0,9.0,0.0,21.7,93,66,Ahmedabad
2020-07-13,32.7,25.8,4.9,4.9,0.0,15.9,93,59,Ahmedabad
2020-07-14,32.3,25.9,8.8,8.8,0.0,11.2,95,64,Ahmedabad
2020-07-15,32.5,26.9,4.8,4.8,0.0,10.9,95,72,Ahmedabad
2020-07-16,32.5,26.4,18.6,18.6,0.0,11.3,97,68,Ahmedabad
2020-07-17,33.2,25.5,9.8,9.8,0.0,13.8,98,61,Ahmedabad
2020-07-18,32.6,26.0,1.3,1.3,0.0,20.9,91,62,Ahmedabad
2020-07-19,33.5,26.7,1.5,1.5,0.0,15.7,90,57,Ahmedabad
2020-07-20,34.1,26.9,0.9,0.9,0.0,18.1,86,52,Ahmedabad
2020-07-21,33.4,26.5,1.1,1.1,0.0,20.3,86,54,Ahmedabad
2020-07-22,34.8,27.2,0.3,0.3,0.0,17.9,84,49,Ahmedabad
2020-07-23,34.2,27.6,1.5,1.5,0.0,14.3,83,56,Ahmedabad
2020-07-24,33.2,26.1,1.2,1.2,0.0,13.3,92,58,Ahmedabad
2020-07-25,32.5,26.4,7.9,7.9,0.0,13.2,95,63,Ahmedabad
2020-07-26,33.0,25.9,5.4,5.4,0.0,15.2,97,57,Ahmedabad
2020-07-27,34.2,26.4,0.5,0.5,0.0,16.9,91,53,Ahmedabad
2020-07-28,35.1,27.1,1.1,1.1,0.0,16.9,84,49,Ahmedabad
2020-07-29,34.1,27.4,1.8,1.8,0.0,15.7,88,57,Ahmedabad
2020-07-30,31.2,26.8,17.2,17.2,0.0,11.9,96,71,Ahmedabad
2020-07-31,32.4,26.2,7.4,7.4,0.0,15.6,98,66,Ahmedabad
2020-08-01,34.1,26.6,0.7,0.7,0.0,12.3,95,58,Ahmedabad
2020-08-02,34.5,27.0,0.7,0.7,0.0,14.0,92,55,Ahmedabad
2020-08-03,34.8,27.3,1.0,1.0,0.0,14.0,87,55,Ahmedabad
2020-08-04,35.0,27.0,0.9,0.9,0.0,15.2,93,56,Ahmedabad
2020-08-05,35.8,28.4,5.8,5.8,0.0,11.0,95,54,Ahmedabad
2020-08-06,32.5,26.5,27.4,27.4,0.0,13.6,96,71,Ahmedabad
2020-08-07,31.0,26.1,17.0,17.0,0.0,20.9,95,74,Ahmedabad
2020-08-08,31.8,25.7,7.0,7.0,0.0,19.6,95,66,Ahmedabad
2020-08-09,28.1,25.9,35.5,35.5,0.0,15.7,95,88,Ahmedabad
2020-08-10,30.6,25.9,2.2,2.2,0.0,11.6,96,73,Ahmedabad
2020-08-11,31.5,26.3,13.8,13.8,0.0,19.1,96,69,Ahmedabad
2020-08-12,31.0,25.8,43.8,43.8,0.0,19.9,96,73,Ahmedabad
2020-08-13,27.1,25.5,101.4,101.4,0.0,23.0,94,89,Ahmedabad
2020-08-14,28.1,25.0,19.2,19.2,0.0,17.3,96,86,Ahmedabad
2020-08-15,30.8,25.2,15.8,15.8,0.0,15.3,96,76,Ahmedabad
2020-08-16,28.8,25.7,16.2,16.2,0.0,15.6,95,83,Ahmedabad
2020-08-17,30.3,25.9,17.2,17.2,0.0,15.0,95,77,Ahmedabad
2020-08-18,29.2,25.4,14.0,14.0,0.0,15.5,96,77,Ahmedabad
2020-08-19,28.9,24.8,7.6,7.6,0.0,13.4,97,85,Ahmedabad
2020-08-20,29.2,25.2,9.3,9.3,0.0,11.9,97,85,Ahmedabad
2020-08-21,29.7,25.2,13.0,13.0,0.0,12.4,98,79,Ahmedabad
2020-08-22,29.6,25.7,9.5,9.5,0.0,15.8,98,78,Ahmedabad
2020-08-23,26.1,25.1,80.3,80.3,0.0,23.8,96,93,Ahmedabad
2020-08-24,28.2,24.9,52.8,52.8,0.0,38.5,95,85,Ahmedabad
2020-08-25,31.7,25.2,4.8,4.8,0.0,30.4,90,65,Ahmedabad
2020-08-26,30.9,24.5,4.7,4.7,0.0,21.9,94,70,Ahmedabad
2020-08-27,30.4,24.4,1.9,1.9,0.0,18.0,96,76,Ahmedabad
2020-08-28,30.4,24.7,9.3,9.3,0.0,15.0,96,71,Ahmedabad
2020-08-29,30.3,25.3,11.6,11.6,0.0,12.7,97,73,Ahmedabad
2020-08-30,26.6,24.7,101.1,101.1,0.0,16.1,97,91,Ahmedabad
2020-08-31,29.2,24.0,26.8,26.8,0.0,20.5,98,77,Ahmedabad
2020-09-01,30.9,24.0,0.6,0.6,0.0,16.2,97,62,Ahmedabad
2020-09-02,31.5,23.9,0.4,0.4,0.0,8.2,99,60,Ahmedabad
2020-09-03,30.4,25.2,1.5,1.5,0.0,7.9,97,70,Ahmedabad
2020-09-04,32.4,25.1,0.4,0.4,0.0,8.9,99,60,Ahmedabad
2020-09-05,32.4,25.3,0.6,0.6,0.0,11.9,97,65,Ahmedabad
2020-09-06,33.0,25.1,0.2,0.2,0.0,11.6,95,57,Ahmedabad
2020-09-07,32.5,25.7,0.2,0.2,0.0,13.7,92,61,Ahmedabad
2020-09-08,31.9,25.0,0.1,0.1,0.0,13.6,93,59,Ahmedabad
2020-09-09,32.3,24.6,0.4,0.4,0.0,9.7,93,64,Ahmedabad
2020-09-10,33.2,25.8,0.0,0.0,0.0,10.2,97,57,Ahmedabad
2020-09-11,32.3,26.2,7.2,7.2,0.0,11.5,95,63,Ahmedabad
2020-09-12,31.0,25.4,21.4,21.4,0.0,10.4,97,71,Ahmedabad
2020-09-13,31.5,26.2,0.5,0.5,0.0,12.8,96,69,Ahmedabad
2020-09-14,31.2,25.7,1.8,1.8,0.0,13.2,91,67,Ahmedabad
2020-09-15,31.9,25.5,1.5,1.5,0.0,8.9,93,65,Ahmedabad
2020-09-16,31.1,26.2,4.9,4.9,0.0,12.6,93,72,Ahmedabad
2020-09-17,31.5,26.3,7.0,7.0,0.0,14.2,94,73,Ahmedabad
2020-09-18,31.1,26.3,0.7,0.7,0.0,10.2,95,67,Ahmedabad
2020-09-19,32.3,26.0,5.6,5.6,0.0,9.7,98,67,Ahmedabad
2020-09-20,32.4,26.6,8.8,8.8,0.0,11.3,95,71,Ahmedabad
2020-09-21,34.2,25.8,1.5,1.5,0.0,13.3,94,63,Ahmedabad
2020-09-22,34.7,26.8,0.0,0.0,0.0,14.8,92,50,Ahmedabad
2020-09-23,34.0,26.9,0.1,0.1,0.0,16.1,92,61,Ahmedabad
2020-09-24,33.2,25.9,0.0,0.0,0.0,12.5,97,64,Ahmedabad
2020-09-25,32.3,26.2,5.1,5.1,0.0,14.8,93,64,Ahmedabad
2020-09-26,31.3,25.2,0.7,0.7,0.0,13.8,91,57,Ahmedabad
2020-09-27,31.1,23.6,0.6,0.6,0.0,10.1,93,55,Ahmedabad
2020-09-28,31.0,22.9,0.3,0.3,0.0,8.4,99,59,Ahmedabad
2020-09-29,31.6,23.6,0.2,0.2,0.0,10.5,90,55,Ahmedabad
2020-09-30,31.7,24.4,0.1,0.1,0.0,11.0,87,58,Ahmedabad
2020-10-01,33.0,24.8,0.0,0.0,0.0,12.2,86,53,Ahmedabad
2020-10-02,34.5,24.8,0.0,0.0,0.0,12.8,84,42,Ahmedabad
2020-10-03,34.5,24.5,0.0,0.0,0.0,11.4,91,42,Ahmedabad
2020-10-04,34.6,23.7,0.0,0.0,0.0,13.2,88,37,Ahmedabad
2020-10-05,34.1,24.2,0.0,0.0,0.0,13.7,89,40,Ahmedabad
2020-10-06,35.2,24.5,0.0,0.0,0.0,10.8,77,34,Ahmedabad
2020-10-07,36.1,24.7,0.0,0.0,0.0,11.6,67,26,Ahmedabad
2020-10-08,35.9,23.1,0.0,0.0,0.0,11.6,73,29,Ahmedabad
2020-10-09,35.8,24.5,0.0,0.0,0.0,12.3,60,28,Ahmedabad
2020-10-10,35.8,23.7,0.0,0.0,0.0,9.4,69,30,Ahmedabad
2020-10-11,35.6,23.0,0.0,0.0,0.0,9.8,76,33,Ahmedabad
2020-10-12,35.3,23.9,0.0,0.0,0.0,8.7,72,31,Ahmedabad
2020-10-13,35.7,23.3,0.0,0.0,0.0,9.2,64,31,Ahmedabad
2020-10-14,35.6,24.5,0.0,0.0,0.0,13.6,61,35,Ahmedabad
2020-10-15,36.0,27.3,0.0,0.0,0.0,18.8,70,40,Ahmedabad
2020-10-16,35.3,27.8,1.0,1.0,0.0,18.4,80,47,Ahmedabad
2020-10-17,33.3,25.9,8.1,8.1,0.0,10.5,94,58,Ahmedabad
2020-10-18,31.9,26.1,3.5,3.5,0.0,7.9,99,68,Ahmedabad
2020-10-19,32.6,25.6,3.5,3.5,0.0,8.8,99,62,Ahmedabad
2020-10-20,33.3,25.9,1.0,1.0,0.0,11.6,95,58,Ahmedabad
2020-10-21,33.0,26.1,0.9,0.9,0.0,10.0,92,57,Ahmedabad
2020-10-22,34.9,23.6,1.6,1.6,0.0,10.6,94,31,Ahmedabad
2020-10-23,34.6,21.2,0.0,0.0,0.0,10.0,64,20,Ahmedabad
2020-10-24,33.7,19.6,0.0,0.0,0.0,13.4,75,27,Ahmedabad
2020-10-25,33.9,21.3,0.0,0.0,0.0,10.2,65,28,Ahmedabad
2020-10-26,34.0,21.6,0.0,0.0,0.0,13.0,70,22,Ahmedabad
2020-10-27,33.5,19.7,0.0,0.0,0.0,10.2,65,23,Ahmedabad
2020-10-28,32.8,19.3,0.0,0.0,0.0,11.1,57,27,Ahmedabad
2020-10-29,32.7,19.3,0.0,0.0,0.0,9.8,69,28,Ahmedabad
2020-10-30,32.5,19.5,0.0,0.0,0.0,10.8,64,26,Ahmedabad
