time,temperature,weather,wind,humidity,location
,28 °C,Passing clouds.,No wind,92%,Jammu
,30 °C,Light rain. Overcast.,7 km/h,89%,Jammu
,27 °C,Light rain. Overcast.,4 km/h,96%,Jammu
,29 °C,Overcast.,11 km/h,88%,Jammu
,26 °C,Partly sunny.,11 km/h,96%,Jammu
,26 °C,Thundershowers. Overcast.,15 km/h,100%,Jammu
,26 °C,Drizzle. Overcast.,No wind,100%,Jammu
,26 °C,Overcast.,No wind,100%,Jammu
,31 °C,Overcast.,4 km/h,78%,Delhi
,34 °C,Partly sunny.,6 km/h,66%,Delhi
,33 °C,Partly sunny.,11 km/h,71%,Delhi
,30 °C,Partly sunny.,11 km/h,73%,Delhi
,28 °C,Fog.,11 km/h,82%,Delhi
,27 °C,Fog.,9 km/h,89%,Delhi
,28 °C,Fog.,N/A,90%,Delhi
,28 °C,Fog.,No wind,90%,Delhi
,29 °C,Passing clouds.,No wind,85%,Mumbai
,30 °C,Partly sunny.,4 km/h,81%,Mumbai
,31 °C,Overcast.,4 km/h,75%,Mumbai
,31 °C,Partly sunny.,4 km/h,80%,Mumbai
,28 °C,Partly sunny.,4 km/h,89%,Mumbai
,28 °C,Passing clouds.,6 km/h,87%,Mumbai
,23 °C,Partly cloudy.,15 km/h,89%,Bangalore
,23 °C,Partly cloudy.,15 km/h,89%,Bangalore
,23 °C,Partly cloudy.,15 km/h,89%,Bangalore
,24 °C,Partly cloudy.,17 km/h,83%,Bangalore
,24 °C,Broken clouds.,15 km/h,83%,Bangalore
,24 °C,Scattered clouds.,15 km/h,83%,Bangalore
,24 °C,Scattered clouds.,22 km/h,83%,Bangalore
,25 °C,Broken clouds.,22 km/h,79%,Bangalore
,26 °C,Broken clouds.,24 km/h,74%,Bangalore
,28 °C,Scattered clouds.,15 km/h,66%,Bangalore
,27 °C,Broken clouds.,17 km/h,70%,Bangalore
,29 °C,Scattered clouds.,20 km/h,66%,Bangalore
,28 °C,Scattered clouds.,20 km/h,66%,Bangalore
,29 °C,Broken clouds.,19 km/h,62%,Bangalore
,29 °C,Broken clouds.,17 km/h,66%,Bangalore
,28 °C,Broken clouds.,17 km/h,66%,Bangalore
,27 °C,Broken clouds.,17 km/h,70%,Bangalore
,26 °C,Broken clouds.,17 km/h,74%,Bangalore
,26 °C,Broken clouds.,19 km/h,74%,Bangalore
,25 °C,Broken clouds.,22 km/h,79%,Bangalore
,25 °C,Broken clouds.,17 km/h,79%,Bangalore
,24 °C,Broken clouds.,26 km/h,78%,Bangalore
,24 °C,Broken clouds.,22 km/h,83%,Bangalore
,23 °C,Broken clouds.,22 km/h,83%,Bangalore
,22 °C,Broken clouds.,22 km/h,88%,Bangalore
,21 °C,Broken clouds.,22 km/h,94%,Bangalore
,21 °C,Broken clouds.,22 km/h,94%,Bangalore
,21 °C,Broken clouds.,22 km/h,94%,Bangalore
,21 °C,Partly cloudy.,22 km/h,94%,Bangalore
,21 °C,Partly cloudy.,19 km/h,94%,Bangalore
,21 °C,Partly cloudy.,15 km/h,94%,Bangalore
,21 °C,Partly cloudy.,19 km/h,94%,Bangalore
,21 °C,Partly cloudy.,22 km/h,94%,Bangalore
,21 °C,Partly cloudy.,15 km/h,94%,Bangalore
,21 °C,Partly cloudy.,15 km/h,94%,Bangalore
,21 °C,Partly cloudy.,17 km/h,94%,Bangalore
,21 °C,Partly cloudy.,19 km/h,94%,Bangalore
,21 °C,Partly cloudy.,19 km/h,94%,Bangalore
,21 °C,Partly cloudy.,15 km/h,94%,Bangalore
,21 °C,Partly cloudy.,15 km/h,94%,Bangalore
,22 °C,Partly cloudy.,19 km/h,94%,Bangalore
,22 °C,Passing clouds.,17 km/h,88%,Bangalore
,22 °C,Partly cloudy.,17 km/h,94%,Bangalore
,22 °C,Partly cloudy.,17 km/h,94%,Bangalore
,22 °C,Partly cloudy.,15 km/h,88%,Bangalore
,22 °C,Partly cloudy.,15 km/h,88%,Bangalore
